iter	Logloss
0	0.5542897845
1	0.4328294508
2	0.3941389319
3	0.3668736258
4	0.3482966873
5	0.3256976002
6	0.29838408
7	0.2912892688
8	0.2803465091
9	0.2768614981
10	0.2742572997
11	0.2723296894
12	0.2706956762
13	0.2694757162
14	0.2661229969
15	0.265177672
16	0.2645440346
17	0.2639547596
18	0.2628466444
19	0.262481259
20	0.2621186025
21	0.2618317809
22	0.2615318633
23	0.2613353887
24	0.2605207911
25	0.2601363865
26	0.2599664983
27	0.259816727
28	0.2596698923
29	0.2595549347
30	0.2594375505
31	0.2589697617
32	0.2588498808
33	0.2587658949
34	0.2586693633
35	0.2586045987
36	0.2583679029
37	0.258122845
38	0.2580399487
39	0.2575841192
40	0.2575148412
41	0.25741195
42	0.2573353269
43	0.2572833685
44	0.2572085022
45	0.257150155
46	0.2570939846
47	0.2568328209
48	0.25677634
49	0.2567238364
50	0.2566628984
51	0.256378294
52	0.2563214345
53	0.256288738
54	0.2562301484
55	0.255991472
56	0.2559332943
57	0.2557750895
58	0.2556994804
59	0.2556520337
60	0.2556102303
61	0.2555688488
62	0.25553064
63	0.255469558
64	0.2554220898
65	0.2553694363
66	0.2553020239
67	0.2552680635
68	0.2552286272
69	0.255177536
70	0.255131938
71	0.2550838898
72	0.2550207391
73	0.2549360417
74	0.2547921698
75	0.2547618911
76	0.2547264443
77	0.2546948864
78	0.2546489961
79	0.2545679752
80	0.2545330628
81	0.2544853405
82	0.254448697
83	0.2543044289
84	0.2542669545
85	0.2542210405
86	0.2541939299
87	0.2541642357
88	0.2541159127
89	0.2540376254
90	0.2540086535
91	0.2539709274
92	0.2539382966
93	0.2538508632
94	0.2538042504
95	0.2537661091
96	0.2537300268
97	0.2536974366
98	0.2536495266
99	0.2535957291
100	0.2535584503
101	0.253508529
102	0.2534685862
103	0.2534209119
104	0.2533102399
105	0.2532658273
106	0.2532471879
107	0.253192466
108	0.2531525046
109	0.2530907214
110	0.2530596187
111	0.2530235399
112	0.2529707993
113	0.2529281649
114	0.2528883115
115	0.2528571403
116	0.2528138946
117	0.2527733456
118	0.2527309022
119	0.2526436375
120	0.2526022537
121	0.2525566736
122	0.2525213903
123	0.2524737868
124	0.2524307929
125	0.2523952149
126	0.2523534347
127	0.2523163464
128	0.252256918
129	0.252223889
130	0.252189432
131	0.2521623278
132	0.2521235674
133	0.2520829025
134	0.2520316334
135	0.251975527
136	0.2519463766
137	0.2519100006
138	0.2518613705
139	0.2518083751
140	0.2517636803
141	0.2517190272
142	0.2516523809
143	0.2516154362
144	0.2515720923
145	0.2515298432
146	0.2514856249
147	0.25145169
148	0.2514135867
149	0.2513809747
150	0.2513440249
151	0.2513105298
152	0.2512641302
153	0.2512179398
154	0.2511777267
155	0.251133736
156	0.2510999713
157	0.2510533083
158	0.2510150004
159	0.2509525728
160	0.2509288314
161	0.2508865512
162	0.2508532539
163	0.2508105996
164	0.2507695779
165	0.2507206086
166	0.2506817635
167	0.2506554718
168	0.2506169496
169	0.2505766018
170	0.2505491137
171	0.2505001098
172	0.250465253
173	0.2504272596
174	0.2503900906
175	0.2503191306
176	0.2502785085
177	0.2502281466
178	0.2501717542
179	0.2501346793
180	0.2501088829
181	0.2500732031
182	0.2500453486
183	0.2500078511
184	0.2499435882
185	0.2499102354
186	0.2498728107
187	0.2498491196
188	0.2497996488
189	0.2497521908
190	0.2497149207
191	0.2496720933
192	0.2496360418
193	0.2495908767
194	0.249557666
195	0.2495160273
196	0.2494777725
197	0.2494301165
198	0.2494011094
199	0.2493655215
200	0.2493255721
201	0.2492975334
202	0.2492699471
203	0.2492326744
204	0.2491980024
205	0.2491447304
206	0.2491084913
207	0.24908727
208	0.2490590398
209	0.2490236141
210	0.2489955387
211	0.248966346
212	0.2489440948
213	0.2489073475
214	0.2488480992
215	0.2488210768
216	0.2487862305
217	0.2487558732
218	0.248717058
219	0.2486896911
220	0.248664484
221	0.2486357039
222	0.2486095515
223	0.248552227
224	0.2485208134
225	0.2484893691
226	0.2484412929
227	0.2484047683
228	0.2483790834
229	0.2483531196
230	0.2483230264
231	0.2482877641
232	0.2482433743
233	0.2482177545
234	0.2481845681
235	0.2481526674
236	0.2481200512
237	0.2480876782
238	0.2480517826
239	0.2480214329
240	0.2479898899
241	0.2479573587
242	0.2479404391
243	0.2478934303
244	0.2478643752
245	0.247834933
246	0.2477943961
247	0.2477587162
248	0.2477205575
249	0.2476416536
250	0.247612424
251	0.2475900697
252	0.2475499696
253	0.2475014301
254	0.247481232
255	0.2474457937
256	0.247410673
257	0.2473744955
258	0.2473411024
259	0.2473145732
260	0.2472722232
261	0.2472356662
262	0.2472166214
263	0.2471863858
264	0.2471548328
265	0.2471275393
266	0.2471025444
267	0.2470734332
268	0.247036758
269	0.2470109344
270	0.2469969754
271	0.2469732639
272	0.2469377709
273	0.2469131494
274	0.2468835283
275	0.2468572526
276	0.2468204906
277	0.2467958743
278	0.2467757703
279	0.2467350119
280	0.2466913907
281	0.2466428553
282	0.2466049341
283	0.2465708046
284	0.2465388252
285	0.2465116189
286	0.2464880657
287	0.2464657099
288	0.2464376468
289	0.2464120456
290	0.2463892349
291	0.2463569571
292	0.2463225559
293	0.246292711
294	0.246259725
295	0.2462220166
296	0.2461976019
297	0.2461681523
298	0.2461421566
299	0.2461053667
300	0.2460695511
301	0.2460247528
302	0.2459896445
303	0.2459646674
304	0.2459348525
305	0.2459121307
306	0.2458903212
307	0.2458681557
308	0.2458410136
309	0.245814555
310	0.2457821216
311	0.2457519877
312	0.2457325147
313	0.2456957061
314	0.2456569895
315	0.2456344199
316	0.2456111035
317	0.2455661166
318	0.2455297053
319	0.2455043916
320	0.245476712
321	0.2454422748
322	0.2454211781
323	0.2453739919
324	0.2453289564
325	0.245285387
326	0.2452511154
327	0.2452101887
328	0.2451860174
329	0.2451616193
330	0.2451447106
331	0.2451147657
332	0.2450846726
333	0.2450552806
334	0.2450402822
335	0.2450097332
336	0.2449792892
337	0.2449501084
338	0.2449312539
339	0.244898988
340	0.244870887
341	0.244848691
342	0.2448224121
343	0.2447909737
344	0.2447593938
345	0.2447226851
346	0.2446956967
347	0.2446708087
348	0.2446384583
349	0.244616854
350	0.2445887921
351	0.2445662401
352	0.244525861
353	0.2445006744
354	0.2444749198
355	0.2444516174
356	0.2444275986
357	0.2443810406
358	0.2443514576
359	0.2443191719
360	0.2442831436
361	0.244245266
362	0.244223467
363	0.2441979211
364	0.2441810804
365	0.244159994
366	0.2441267846
367	0.2441033899
368	0.2440417647
369	0.2440174719
370	0.2439947198
371	0.2439757551
372	0.2439434316
373	0.2439095403
374	0.243892724
375	0.2438577092
376	0.2438329844
377	0.2438131633
378	0.2437928226
379	0.2437718666
380	0.2437434157
381	0.2437247797
382	0.2436982452
383	0.2436624687
384	0.2436260413
385	0.2436012409
386	0.2435755878
387	0.2435489418
388	0.2435222421
389	0.2434901949
390	0.2434576964
391	0.2434299126
392	0.243401153
393	0.2433700348
394	0.2433414234
395	0.2433182728
396	0.2432883759
397	0.243256825
398	0.2432379169
399	0.243214202
400	0.2431856373
401	0.2431658338
402	0.2431408207
403	0.2431060532
404	0.2430705099
405	0.243041006
406	0.2430192592
407	0.2429840947
408	0.2429570814
409	0.2429185822
410	0.2428971071
411	0.2428698587
412	0.2428440957
413	0.2428161028
414	0.2427898615
415	0.2427734597
416	0.242733371
417	0.24271586
418	0.2427000104
419	0.2426785114
420	0.2426539699
421	0.2426266561
422	0.2425989856
423	0.2425724231
424	0.2425371173
425	0.242515224
426	0.2424926864
427	0.2424574347
428	0.2424300446
429	0.242365558
430	0.2423460369
431	0.242334413
432	0.2423115525
433	0.2422910137
434	0.2422564502
435	0.2422318798
436	0.2422134816
437	0.2421544248
438	0.2421389934
439	0.2421197407
440	0.2420827114
441	0.2420533787
442	0.2420241904
443	0.2420029056
444	0.2419836401
445	0.2419576177
446	0.241915325
447	0.241899566
448	0.2418662596
449	0.241845924
450	0.2418124586
451	0.2417727722
452	0.2417340457
453	0.2417208674
454	0.2416907246
455	0.2416593616
456	0.2416227352
457	0.2416005481
458	0.2415542572
459	0.2415120173
460	0.2414881142
461	0.241465973
462	0.2414369448
463	0.2414075984
464	0.2413792052
465	0.2413541648
466	0.2413178643
467	0.2412858122
468	0.2412589009
469	0.2412338805
470	0.2412040797
471	0.2411875229
472	0.2411465479
473	0.2411149431
474	0.2410982929
475	0.2410713154
476	0.2410394675
477	0.2410201266
478	0.2410080048
479	0.2409846569
480	0.2409619468
481	0.2409387457
482	0.2409130685
483	0.2408896924
484	0.240864326
485	0.240845121
486	0.240810113
487	0.2407865711
488	0.2407624119
489	0.2407409422
490	0.2407224717
491	0.2406943687
492	0.2406711813
493	0.2406472983
494	0.2406170728
495	0.2405876643
496	0.2405522254
497	0.2405273252
498	0.2405149069
499	0.2404974593
500	0.2404719795
501	0.2404439592
502	0.2404234578
503	0.240397877
504	0.2403609921
505	0.240337525
506	0.2403220763
507	0.2402984373
508	0.2402724604
509	0.2402519467
510	0.2402205001
511	0.2401935773
512	0.2401709945
513	0.2401387539
514	0.2401130205
